"","user","percent","accuracy","time"
"1","adelmo","0.2",0.956298200514139,2.289
"2","adelmo","0.4",0.983290488431877,5.9625
"3","adelmo","0.6",0.991002570694087,11.0643333333333
"4","adelmo","0.8",0.991002570694087,17.4001666666666
"5","adelmo","1",0.996143958868895,25.6351666666667
"6","carlitos","0.2",0.982258064516129,1.61333333333333
"7","carlitos","0.4",0.991935483870968,4.312
"8","carlitos","0.6",0.993548387096774,8.19966666666666
"9","carlitos","0.8",0.996774193548387,11.8345
"10","carlitos","1",0.996774193548387,17.221
"11","charles","0.2",0.973049645390071,1.66783333333333
"12","charles","0.4",0.985815602836879,6.1425
"13","charles","0.6",0.99290780141844,9.57583333333335
"14","charles","0.8",0.991489361702128,13.889
"15","charles","1",0.99290780141844,20.3794999999999
"16","cummulative","0.2",0.966862095335203,31.3486666666667
"17","cummulative","0.4",0.980627071119042,97.3086666666667
"18","cummulative","0.6",0.988274279887841,192.944
"19","cummulative","0.8",0.991078256436401,331.605666666667
"20","cummulative","1",0.991842977313281,259.3165
"21","eurico","0.2",0.973856209150327,1.73466666666667
"22","eurico","0.4",0.990196078431373,4.4825
"23","eurico","0.6",0.996732026143791,8.24916666666665
"24","eurico","0.8",0.996732026143791,11.7440000000001
"25","eurico","1",1,17.3398333333333
"26","jeremy","0.2",0.958702064896755,1.826
"27","jeremy","0.4",0.970501474926254,4.9175
"28","jeremy","0.6",0.985250737463127,9.85083333333335
"29","jeremy","0.8",0.995575221238938,14.2068333333333
"30","jeremy","1",0.995575221238938,20.4768333333333
"31","pedro","0.2",0.938461538461538,1.27633333333333
"32","pedro","0.4",0.971153846153846,3.37966666666666
"33","pedro","0.6",0.978846153846154,5.93149999999999
"34","pedro","0.8",0.992307692307692,8.78333333333333
"35","pedro","1",0.994230769230769,12.8548333333333
